BodyText_Section0
[('[0x0000639A]',), 69, 3, '0x24', 36]
[('[0x0000638E]',), 68, 3, '0x8', 8]
[('[0x0000632A]',), 67, 3, '0x60', 96]
[('[0x0000630E]',), 66, 2, '0x18', 24]
[('[0x000062E6]',), 69, 3, '0x24', 36]
[('[0x000062DA]',), 68, 3, '0x8', 8]
[('[0x0000627A]',), 67, 3, '0x5c', 92]
[('[0x0000625E]',), 66, 2, '0x18', 24]
[('[0x00006236]',), 69, 3, '0x24', 36]
[('[0x0000622A]',), 68, 3, '0x8', 8]
[('[0x000061AC]',), 67, 3, '0x7a', 122]
[('[0x00006190]',), 66, 2, '0x18', 24]
[('[0x0000615D]',), 72, 2, '0x2f', 47]
[('[0x00006135]',), 69, 3, '0x24', 36]
[('[0x00006129]',), 68, 3, '0x8', 8]
[('[0x00006109]',), 67, 3, '0x1c', 28]
[('[0x000060ED]',), 66, 2, '0x18', 24]
[('[0x000060BA]',), 72, 2, '0x2f', 47]
[('[0x0000609A]',), 77, 2, '0x1c', 28]
[('[0x0000602E]',), 87, 2, '0x68', 104]
[('[0x00005FFC]',), 71, 1, '0x2e', 46]
[('[0x00005FD4]',), 69, 1, '0x24', 36]
[('[0x00005FC8]',), 68, 1, '0x8', 8]
[('[0x00005FB2]',), 67, 1, '0x12', 18]
[('[0x00005F96]',), 66, 0, '0x18', 24]
[('[0x00005F6E]',), 69, 1, '0x24', 36]
[('[0x00005F52]',), 68, 1, '0x18', 24]
[('[0x00005F14]',), 67, 1, '0x3a', 58]
[('[0x00005EF8]',), 66, 0, '0x18', 24]
[('[0x00005ED0]',), 69, 1, '0x24', 36]
[('[0x00005EC4]',), 68, 1, '0x8', 8]
[('[0x00005EA8]',), 66, 0, '0x18', 24]
[('[0x00005E80]',), 69, 1, '0x24', 36]
[('[0x00005E74]',), 68, 1, '0x8', 8]
[('[0x00005E58]',), 66, 0, '0x18', 24]
[('[0x00005E30]',), 69, 1, '0x24', 36]
[('[0x00005E14]',), 68, 1, '0x18', 24]
[('[0x00005DD6]',), 67, 1, '0x3a', 58]
[('[0x00005DBA]',), 66, 0, '0x18', 24]
[('[0x00005D92]',), 69, 1, '0x24', 36]
[('[0x00005D86]',), 68, 1, '0x8', 8]
[('[0x00005D56]',), 67, 1, '0x2c', 44]
[('[0x00005D3A]',), 66, 0, '0x18', 24]
[('[0x00005D12]',), 69, 1, '0x24', 36]
[('[0x00005D06]',), 68, 1, '0x8', 8]
[('[0x00005CEA]',), 66, 0, '0x18', 24]
[('[0x00005CC2]',), 69, 1, '0x24', 36]
[('[0x00005CB6]',), 68, 1, '0x8', 8]
[('[0x00005C9A]',), 66, 0, '0x18', 24]
[('[0x00005C4E]',), 69, 3, '0x48', 72]
[('[0x00005C42]',), 68, 3, '0x8', 8]
[('[0x00005BA0]',), 67, 3, '0x9e', 158]
[('[0x00005B84]',), 66, 2, '0x18', 24]
[('[0x00005B5C]',), 69, 3, '0x24', 36]
[('[0x00005B50]',), 68, 3, '0x8', 8]
[('[0x00005B42]',), 67, 3, '0xa', 10]
[('[0x00005B26]',), 66, 2, '0x18', 24]
[('[0x00005AF3]',), 72, 2, '0x2f', 47]
[('[0x00005A94]',), 85, 5, '0x5b', 91]
[('[0x000059CC]',), 76, 4, '0xc4', 196]
[('[0x000059A4]',), 69, 5, '0x24', 36]
[('[0x00005998]',), 68, 5, '0x8', 8]
[('[0x0000593C]',), 67, 5, '0x58', 88]
[('[0x00005920]',), 66, 4, '0x18', 24]
[('[0x000058FE]',), 72, 4, '0x1e', 30]
[('[0x00005836]',), 71, 3, '0xc4', 196]
[('[0x0000580E]',), 69, 3, '0x24', 36]
[('[0x00005802]',), 68, 3, '0x8', 8]
[('[0x000057EC]',), 67, 3, '0x12', 18]
[('[0x000057D0]',), 66, 2, '0x18', 24]
[('[0x000057A8]',), 69, 5, '0x24', 36]
[('[0x0000579C]',), 68, 5, '0x8', 8]
[('[0x00005720]',), 67, 5, '0x78', 120]
[('[0x00005704]',), 66, 4, '0x18', 24]
[('[0x000056DC]',), 69, 5, '0x24', 36]
