BodyText_Section0
[('[0x00003EFF]',), 66, 4, '0x18', 24]
[('[0x00003ECC]',), 72, 4, '0x2f', 47]
[('[0x00003EC0]',), 68, 5, '0x8', 8]
[('[0x00003EA2]',), 67, 5, '0x1a', 26]
[('[0x00003E86]',), 66, 4, '0x18', 24]
[('[0x00003E53]',), 72, 4, '0x2f', 47]
[('[0x00003E47]',), 68, 5, '0x8', 8]
[('[0x00003E3B]',), 67, 5, '0x8', 8]
[('[0x00003E1F]',), 66, 4, '0x18', 24]
[('[0x00003DEC]',), 72, 4, '0x2f', 47]
[('[0x00003DE0]',), 68, 5, '0x8', 8]
[('[0x00003DBE]',), 67, 5, '0x1e', 30]
[('[0x00003DA2]',), 66, 4, '0x18', 24]
[('[0x00003D6F]',), 72, 4, '0x2f', 47]
[('[0x00003D63]',), 68, 5, '0x8', 8]
[('[0x00003D57]',), 67, 5, '0x8', 8]
[('[0x00003D3B]',), 66, 4, '0x18', 24]
[('[0x00003D08]',), 72, 4, '0x2f', 47]
[('[0x00003CFC]',), 68, 5, '0x8', 8]
[('[0x00003CE4]',), 67, 5, '0x14', 20]
[('[0x00003CC8]',), 66, 4, '0x18', 24]
[('[0x00003C95]',), 72, 4, '0x2f', 47]
[('[0x00003C89]',), 68, 5, '0x8', 8]
[('[0x00003C7D]',), 67, 5, '0x8', 8]
[('[0x00003C61]',), 66, 4, '0x18', 24]
[('[0x00003C2E]',), 72, 4, '0x2f', 47]
[('[0x00003C22]',), 68, 5, '0x8', 8]
[('[0x00003C18]',), 67, 5, '0x6', 6]
[('[0x00003BFC]',), 66, 4, '0x18', 24]
[('[0x00003BC9]',), 72, 4, '0x2f', 47]
[('[0x00003BBD]',), 68, 5, '0x8', 8]
[('[0x00003BB3]',), 67, 5, '0x6', 6]
[('[0x00003B97]',), 66, 4, '0x18', 24]
[('[0x00003B64]',), 72, 4, '0x2f', 47]
[('[0x00003B40]',), 77, 4, '0x20', 32]
[('[0x00003B0E]',), 71, 3, '0x2e', 46]
[('[0x00003B02]',), 68, 3, '0x8', 8]
[('[0x00003AEC]',), 67, 3, '0x12', 18]
[('[0x00003AD0]',), 66, 2, '0x18', 24]
[('[0x00003AAC]',), 68, 3, '0x20', 32]
[('[0x00003A40]',), 67, 3, '0x68', 104]
[('[0x00003A24]',), 66, 2, '0x18', 24]
[('[0x000039F8]',), 68, 3, '0x28', 40]
[('[0x000039CC]',), 67, 3, '0x28', 40]
[('[0x000039B0]',), 66, 2, '0x18', 24]
[('[0x0000397D]',), 72, 2, '0x2f', 47]
[('[0x00003969]',), 68, 3, '0x10', 16]
[('[0x00003961]',), 67, 3, '0x4', 4]
[('[0x00003945]',), 66, 2, '0x18', 24]
[('[0x00003912]',), 72, 2, '0x2f', 47]
[('[0x00003906]',), 68, 3, '0x8', 8]
[('[0x000038E0]',), 67, 3, '0x22', 34]
[('[0x000038C4]',), 66, 2, '0x18', 24]
[('[0x00003891]',), 72, 2, '0x2f', 47]
[('[0x0000386D]',), 68, 3, '0x20', 32]
[('[0x0000374F]',), 67, 3, '0x11a', 282]
[('[0x00003733]',), 66, 2, '0x18', 24]
[('[0x000036EF]',), 68, 3, '0x40', 64]
[('[0x000034E1]',), 67, 3, '0x20a', 522]
[('[0x000034C5]',), 66, 2, '0x18', 24]
[('[0x00003492]',), 72, 2, '0x2f', 47]
[('[0x00003486]',), 68, 3, '0x8', 8]
[('[0x0000346A]',), 66, 2, '0x18', 24]
[('[0x00003437]',), 72, 2, '0x2f', 47]
[('[0x0000342B]',), 68, 3, '0x8', 8]
[('[0x00003413]',), 67, 3, '0x14', 20]
[('[0x000033F7]',), 66, 2, '0x18', 24]
[('[0x000033C4]',), 72, 2, '0x2f', 47]
[('[0x000033A0]',), 68, 3, '0x20', 32]
[('[0x00003308]',), 67, 3, '0x94', 148]
[('[0x000032EC]',), 66, 2, '0x18', 24]
[('[0x000032D0]',), 68, 3, '0x18', 24]
[('[0x0000319C]',), 67, 3, '0x130', 304]
[('[0x00003180]',), 66, 2, '0x18', 24]
[('[0x0000314D]',), 72, 2, '0x2f', 47]
[('[0x00003141]',), 68, 3, '0x8', 8]
[('[0x00003125]',), 66, 2, '0x18', 24]
[('[0x000030F2]',), 72, 2, '0x2f', 47]
[('[0x000030E6]',), 68, 3, '0x8', 8]
[('[0x000030D0]',), 67, 3, '0x12', 18]
[('[0x000030B4]',), 66, 2, '0x18', 24]
[('[0x00003081]',), 72, 2, '0x2f', 47]
[('[0x0000306D]',), 68, 3, '0x10', 16]
[('[0x00002F93]',), 67, 3, '0xd6', 214]
[('[0x00002F77]',), 66, 2, '0x18', 24]
[('[0x00002F63]',), 68, 3, '0x10', 16]
[('[0x00002E61]',), 67, 3, '0xfe', 254]
[('[0x00002E45]',), 66, 2, '0x18', 24]
[('[0x00002E31]',), 68, 3, '0x10', 16]
[('[0x00002D45]',), 67, 3, '0xe8', 232]
[('[0x00002D29]',), 66, 2, '0x18', 24]
[('[0x00002CCD]',), 68, 3, '0x58', 88]
[('[0x00002BA1]',), 67, 3, '0x128', 296]
[('[0x00002B85]',), 66, 2, '0x18', 24]
[('[0x00002B41]',), 68, 3, '0x40', 64]
[('[0x00002907]',), 67, 3, '0x236', 566]
[('[0x000028EB]',), 66, 2, '0x18', 24]
