BodyText_Section0
[('[0x00066AD7]',), 66, 2, '0x18', 24]
[('[0x00066AAF]',), 69, 3, '0x24', 36]
[('[0x00066AA3]',), 68, 3, '0x8', 8]
[('[0x00066A89]',), 67, 3, '0x16', 22]
[('[0x00066A6D]',), 66, 2, '0x18', 24]
[('[0x00066A45]',), 69, 3, '0x24', 36]
[('[0x00066A21]',), 68, 3, '0x20', 32]
[('[0x000669BF]',), 67, 3, '0x5e', 94]
[('[0x000669A3]',), 66, 2, '0x18', 24]
[('[0x0006697B]',), 69, 3, '0x24', 36]
[('[0x00066957]',), 68, 3, '0x20', 32]
[('[0x000668F5]',), 67, 3, '0x5e', 94]
[('[0x000668D9]',), 66, 2, '0x18', 24]
[('[0x000668B1]',), 69, 3, '0x24', 36]
[('[0x0006688D]',), 68, 3, '0x20', 32]
[('[0x00066829]',), 67, 3, '0x60', 96]
[('[0x0006680D]',), 66, 2, '0x18', 24]
[('[0x000667E5]',), 69, 3, '0x24', 36]
[('[0x000667D9]',), 68, 3, '0x8', 8]
[('[0x000667B3]',), 67, 3, '0x22', 34]
[('[0x00066797]',), 66, 2, '0x18', 24]
[('[0x00066764]',), 72, 2, '0x2f', 47]
[('[0x0006673C]',), 69, 3, '0x24', 36]
[('[0x00066730]',), 68, 3, '0x8', 8]
[('[0x00066714]',), 66, 2, '0x18', 24]
[('[0x000666E1]',), 72, 2, '0x2f', 47]
[('[0x000666B9]',), 69, 3, '0x24', 36]
[('[0x000666AD]',), 68, 3, '0x8', 8]
[('[0x00066691]',), 66, 2, '0x18', 24]
[('[0x0006665E]',), 72, 2, '0x2f', 47]
[('[0x00066636]',), 69, 3, '0x24', 36]
[('[0x0006662A]',), 68, 3, '0x8', 8]
[('[0x0006660E]',), 66, 2, '0x18', 24]
[('[0x000665DB]',), 72, 2, '0x2f', 47]
[('[0x000665B3]',), 69, 3, '0x24', 36]
[('[0x000665A7]',), 68, 3, '0x8', 8]
[('[0x00066595]',), 67, 3, '0xe', 14]
[('[0x00066579]',), 66, 2, '0x18', 24]
[('[0x00066546]',), 72, 2, '0x2f', 47]
[('[0x0006651E]',), 69, 3, '0x24', 36]
[('[0x00066512]',), 68, 3, '0x8', 8]
[('[0x000664F6]',), 66, 2, '0x18', 24]
[('[0x000664C3]',), 72, 2, '0x2f', 47]
[('[0x000664A3]',), 77, 2, '0x1c', 28]
[('[0x00066471]',), 71, 1, '0x2e', 46]
[('[0x00066449]',), 69, 1, '0x24', 36]
[('[0x0006643D]',), 68, 1, '0x8', 8]
[('[0x00066427]',), 67, 1, '0x12', 18]
[('[0x0006640B]',), 66, 0, '0x18', 24]
[('[0x000663E3]',), 69, 1, '0x24', 36]
[('[0x000663D7]',), 68, 1, '0x8', 8]
[('[0x000663BB]',), 66, 0, '0x18', 24]
[('[0x00066393]',), 69, 1, '0x24', 36]
[('[0x00066387]',), 68, 1, '0x8', 8]
[('[0x00066355]',), 67, 1, '0x2e', 46]
[('[0x00066339]',), 66, 0, '0x18', 24]
[('[0x00066311]',), 69, 1, '0x24', 36]
[('[0x00066305]',), 68, 1, '0x8', 8]
