file_name,/JS,/AA,/OpenAction,/AcroForm,/RichMedia,/Launch,/EmbeddedFile,/XFA,/URI,/F,/GoToE,/Extends,/Annot,/Length,/Filter,/FlateDecode,/XObject,/Encrypt,/CreationDate,/Author,subject,/ModDate,html,Script,powershell.exe,cmd.exe,sys,root,reg,exe,http,domain,filepath,ascii,xml,dll,unescape,%u9090%u9090,getIcon,temptmp,eval,%appdata%,chunk,base64,mkdir,replace,fromCharCode,getAnnots,ip,xref_size,trailer_size,file_size,nof_stream,class
file_0026,0,0,0,1,0,0,0,0,1,0,0,0,1,3,27,27,3,0,2,2,2,1,2,2,0,0,7,0,0,1,2,6,29,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,120,178,232.413,64,0
file_0027,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3848,3548,4654,0,2,2,2,1,1,2,0,0,7,5,0,1,6,6,5792,3279,3,9,0,0,0,2,0,0,0,0,0,0,0,0,77,7062,14077,6579.34,7676,0
file_0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,2,2,7,1,1,3,0,0,2,0,0,5,2,6,37,73,2,2,0,0,0,2,5,0,0,0,0,0,0,0,30,122,235,71.54,122,0
file_0029,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,2,1,0,1,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,21,77.728,5,0
file_0030,0,0,0,3,0,0,0,0,0,0,0,4,0,0,44,42,5,0,0,1,7,0,1,5,0,0,12,2,0,1,3,25,50,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,76.576,127,0
file_0031,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,0,0,2,2,2,1,1,2,0,0,4,0,0,5,3,9,18,31,2,2,0,0,0,3,0,0,0,0,0,0,0,0,5,57,98,61.199,52,0
file_0032,0,0,0,2,0,0,0,0,0,230,0,0,224,0,49,47,3,0,3,3,3,2,1,3,0,0,18,0,0,3,3,13,279,304,2,0,0,0,0,0,2,0,0,0,0,0,0,0,13,579,1635,188.303,379,0
file_0033,0,0,0,0,0,0,0,0,0,0,0,5,0,0,32,32,0,0,4,4,2,3,1,4,0,0,2,2,0,1,2,19,36,61,2,0,0,0,0,0,0,0,0,0,0,2,0,0,24,659,3891,105.613,97,0
file_0034,0,0,0,2,0,0,10,0,0,0,0,11,0,1,130,129,216,0,0,1,2,0,2,8,0,0,14,3,0,1,11,7,277,288,11,0,0,0,0,4,0,0,0,0,0,0,0,0,17,0,0,191.973,610,0
file_0035,0,0,0,0,0,0,0,0,188,252,0,0,0,13,122,121,24,0,2,2,9,1,10,18,0,0,15,9,0,1,19,223,132,2399,10,2,0,0,0,11,0,0,0,0,0,0,0,0,77,3596,3596,1450.51,443,0
file_0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,0,0,2,2,2,1,1,6,0,0,0,0,0,1,3,11,56,53,2,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,93.436,107,0
file_0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,2,2,2,1,2,0,0,0,2,0,0,2,2,1,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,35,74.7,21,0
